time_s,x_m,y_m,heading_deg,speed_mmps,steering_deg,throttle,mean_throttle,brake
0.331,0.0,0.0,0.0,0.0,0.0,50,50.0,0
0.408,0.0,0.0,0.0,0.0,0.0,50,50.0,0
0.522,0.0,0.0,0.0,0.0,0.0,50,50.0,0
0.619,0.0,0.0,0.0,0.0,0.0,50,50.0,0
0.71,0.0,0.0,0.0,0.0,0.0,50,50.0,0
0.811,0.0,0.0,0.0,0.0,0.0,50,50.0,0
0.912,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.013,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.113,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.219,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.316,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.416,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.515,0.0,0.0,0.0,0.0,0.0,50,50.0,0
1.616,0.0,0.0,0.0,0.0,0.0,150,62.5,0
1.715,0.0,0.084,0.0,0.84,0.0,150,75.0,0
1.816,0.0,0.273,0.03,1.889,3.0,150,87.5,0
1.917,0.001,0.567,0.09,2.938,6.0,150,100.0,0
2.017,0.002,0.965,0.18,3.988,9.0,150,112.5,0
2.118,0.004,1.364,0.3,3.988,12.0,50,112.5,0
2.218,0.007,1.763,0.45,3.988,15.0,50,112.5,0
2.319,0.011,2.162,0.63,3.988,18.0,50,112.5,0
2.42,0.017,2.532,0.84,3.707,21.0,50,100.0,0
2.521,0.023,2.877,1.08,3.446,24.0,50,87.5,0
2.62,0.031,3.197,1.33,3.203,25.0,150,87.5,0
2.72,0.039,3.495,1.58,2.978,25.0,150,87.5,0
2.821,0.048,3.771,1.83,2.768,25.0,50,75.0,0
2.922,0.057,4.029,2.08,2.573,25.0,50,75.0,0
3.023,0.067,4.268,2.33,2.392,25.0,50,75.0,0
3.123,0.077,4.49,2.58,2.224,25.0,50,75.0,0
3.224,0.087,4.696,2.83,2.067,25.0,50,75.0,0
3.324,0.097,4.888,3.08,1.922,25.0,150,87.5,0
3.424,0.108,5.077,3.33,1.889,25.0,150,87.5,0
3.525,0.119,5.252,3.58,1.756,25.0,50,75.0,0
3.626,0.13,5.415,3.83,1.632,25.0,50,75.0,0
3.726,0.141,5.566,4.08,1.517,25.0,50,75.0,0
3.827,0.152,5.707,4.33,1.411,25.0,50,75.0,0
3.928,0.162,5.838,4.58,1.311,25.0,50,75.0,0
4.029,0.172,5.959,4.83,1.219,25.0,50,75.0,0
4.13,0.182,6.072,5.08,1.133,25.0,50,62.5,0
4.23,0.192,6.177,5.33,1.053,25.0,150,62.5,0
4.33,0.202,6.274,5.58,0.979,25.0,150,75.0,0
4.431,0.211,6.365,5.83,0.91,25.0,50,75.0,0
4.531,0.231,6.553,6.08,1.889,25.0,150,87.5,0
4.632,0.263,6.845,6.33,2.938,25.0,150,100.0,0
4.733,0.309,7.241,6.58,3.988,25.0,150,112.5,0
4.833,0.369,7.741,6.83,5.037,25.0,150,125.0,0
4.933,0.444,8.345,7.08,6.086,25.0,150,137.5,0
5.033,0.516,8.906,7.33,5.658,25.0,50,125.0,0
5.134,0.586,9.427,7.58,5.26,25.0,50,112.5,0
5.234,0.652,9.912,7.83,4.889,25.0,50,112.5,0
5.335,0.716,10.362,8.05,4.545,22.0,50,100.0,0
5.437,0.777,10.78,8.27,4.225,22.0,50,87.5,0
5.537,0.835,11.168,8.52,3.928,25.0,50,75.0,0
5.637,0.89,11.529,8.74,3.651,22.0,50,62.5,0
5.738,0.943,11.865,8.93,3.394,19.0,50,50.0,0
5.838,0.993,12.176,9.09,3.155,16.0,50,50.0,0
5.938,1.04,12.466,9.22,2.933,13.0,50,50.0,0
6.039,1.084,12.735,9.32,2.727,10.0,50,50.0,0
6.14,1.125,12.985,9.39,2.535,7.0,50,50.0,0
6.241,1.164,13.217,9.43,2.356,4.0,150,62.5,0
6.342,1.2,13.433,9.44,2.19,1.0,150,75.0,0
6.443,1.233,13.634,9.42,2.036,-2.0,50,75.0,0
6.544,1.245,13.703,9.37,0.693,-5.0,50,75.0,1
6.644,1.258,13.785,9.29,0.84,-8.0,50,75.0,0
6.745,1.288,13.972,9.18,1.889,-11.0,150,87.5,0
